click,purchase,101,121,122,124,125,126,127,128,129,205,206,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853
0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.07556,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,1,2,2,2,1,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,1,1,1,2,3,3,3,2,2,0,1,1,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.256,0.4626,0.344
0,0,1,1,1,1,1,0,1,1,1,3,4,4,4,3,3,0,0,2,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.2615,0.0,0.0,0.12212999999999999
0,0,1,1,1,1,1,0,1,1,1,0,5,5,5,4,4,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3591,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,4,3,6,6,5,2,0,0,1,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.0,0.0,0.344
0,0,1,1,1,1,1,0,1,1,1,5,3,7,7,5,2,0,0,1,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.0,0.0,0.344
0,0,1,1,1,1,1,0,1,1,1,0,6,8,8,6,5,1,2,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.1222,0.185,0.0
0,0,1,1,1,1,1,0,1,1,1,0,7,9,9,7,0,2,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.1222,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,8,10,10,6,6,0,2,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.185,0.0
0,0,1,1,1,1,1,0,1,1,1,0,6,0,11,2,5,0,1,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.1993,0.4626,0.0
0,0,1,1,1,1,1,0,1,1,1,6,4,11,12,0,3,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.2615,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,7,9,12,13,0,7,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,9,13,14,8,7,0,3,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0797,0.0
0,0,1,1,1,1,1,0,1,1,1,8,10,14,15,9,8,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.1511,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,9,11,15,16,0,9,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3267,0.0,0.0,0.0
1,0,1,1,1,1,1,0,1,1,1,10,8,16,17,0,6,0,0,3,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.0,0.2656
0,0,1,1,1,1,1,0,1,1,1,11,3,17,18,10,2,0,0,1,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.0,0.0,0.344
0,0,1,1,1,1,1,0,1,1,1,0,9,18,19,11,7,3,4,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0771,0.265,0.0
0,0,1,1,1,1,1,0,1,1,1,12,3,19,20,12,2,4,5,1,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.0771,0.0797,0.344
0,0,1,1,1,1,1,0,1,1,1,13,12,20,21,0,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,14,3,21,22,13,2,0,0,4,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.0,0.0,0.3254
0,0,1,1,1,1,1,0,1,1,1,15,11,22,23,14,9,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3267,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,16,13,23,24,15,10,5,6,5,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.3782,0.391,0.369
0,0,1,1,1,1,1,0,1,1,1,17,6,24,11,16,5,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,18,8,25,25,11,6,0,4,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.265,0.0
0,0,1,1,1,1,1,0,1,1,1,19,14,26,26,0,11,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.2795,0.0,0.0,0.0
1,0,1,1,1,1,1,0,1,1,1,20,8,27,27,17,6,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,21,10,28,28,18,8,0,7,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.1511,0.0,0.0797,0.0
0,0,1,1,1,1,1,0,1,1,1,22,15,29,29,19,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
1,0,1,1,1,1,1,0,1,1,1,0,16,30,30,0,12,6,0,6,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3743,0.3818,0.0,0.203
0,0,1,1,1,1,1,0,1,1,1,0,17,31,31,20,13,0,0,7,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.2876,0.0,0.0,0.1504
1,0,1,1,1,1,1,0,1,1,1,23,11,32,32,0,9,7,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3267,0.0771,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,3,33,22,21,2,8,8,8,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.1222,0.5093,0.3254
0,0,1,1,1,1,1,0,1,1,1,0,18,34,33,22,14,0,9,9,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3508,0.0,0.2238,0.11914000000000001
0,0,1,1,1,1,1,0,1,1,1,0,6,35,34,2,5,9,1,10,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.2313,0.4626,0.09186
0,0,1,1,1,1,1,0,1,1,1,0,3,36,35,21,2,0,8,8,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.5605,0.0,0.5093,0.3254
0,0,1,1,1,1,1,0,1,1,1,24,17,37,36,23,13,0,0,7,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.2876,0.0,0.0,0.1504
0,0,1,1,1,1,1,0,1,1,1,0,19,0,37,0,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,25,9,38,38,17,7,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,26,6,39,39,24,5,0,0,11,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.0,0.0,0.0752
0,0,1,1,1,1,1,0,1,1,1,27,6,40,40,0,5,0,0,12,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.0,0.0,0.0752
0,0,1,1,1,1,1,0,1,1,1,28,20,41,41,25,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,29,21,42,42,26,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,30,18,43,43,27,14,0,10,13,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3508,0.0,0.0797,0.11914000000000001
1,0,1,1,1,1,1,0,1,1,1,31,6,44,44,28,5,0,0,14,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.0,0.0,0.05545
0,0,1,1,1,1,1,0,1,1,1,0,22,0,45,0,15,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.11975,0.3083,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,32,20,45,46,29,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,33,18,46,33,30,14,10,0,15,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3508,0.4045,0.0,0.11914000000000001
0,0,1,1,1,1,1,0,1,1,1,0,18,47,47,2,14,11,1,15,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3508,0.2444,0.4626,0.11914000000000001
0,0,1,1,1,1,1,0,1,1,1,0,6,48,48,31,5,0,0,16,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.0,0.0,0.2451
0,0,1,1,1,1,1,0,1,1,1,34,23,49,49,32,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,24,0,50,33,16,0,11,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3633,0.1993,0.3948,0.0
0,0,1,1,1,1,1,0,1,1,1,35,6,50,51,34,5,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.0,0.0,0.0
