user_id,item_id,time,label
1,308223,6183,2
2,236049,6251,2
3,442603,5978,2
4,216139,6087,1
4,241809,6208,2
4,14238,6136,2
5,525248,5834,2
6,81347,5665,2
6,81346,5665,2
6,405213,5665,2
7,328157,6252,2
8,3765,5675,2
9,27292,6123,2
10,428985,6156,2
11,593669,5675,2
12,147226,5665,2
13,324724,5984,2
14,615669,6105,2
15,56091,6128,2
16,14402,6088,2
17,589206,6118,2
17,396110,6118,2
18,99784,5977,2
19,605791,5816,2
20,663943,5740,2
21,350125,6010,2
22,399158,5688,2
23,226269,5924,2
24,271164,5732,2
25,622157,5887,2
25,642343,5887,1
26,282565,5665,2
27,517059,5639,2
28,608375,5714,2
29,98949,5847,1
29,98948,5842,2
29,498592,5830,2
30,721623,6229,2
31,357949,5833,2
31,57906,5789,2
32,672955,6006,1
32,740,5779,2
33,386783,5668,2
34,25718,6167,2
35,431068,5668,2
35,641668,5668,1
35,81643,5668,1
35,647646,5916,1
35,325510,5808,1
35,406777,5668,2
35,424450,5735,1
35,242142,5668,2
35,422692,5668,2
35,636197,5916,1
35,165557,5916,1
35,424693,5668,2
36,620528,6220,2
37,76259,5985,2
38,588628,5919,2
38,588661,5977,1
38,57526,5791,2
38,588663,5983,1
39,118270,5689,2
40,723551,6207,2
41,529825,5701,2
42,408895,5656,2
42,634252,5656,1
42,640854,5656,2
42,578143,5656,2
42,604582,5656,2
43,352425,6087,2
44,112052,6048,2
45,392923,6241,2
45,398460,6204,2
46,65994,5985,2
47,150818,6107,2
48,542201,6185,2
49,352398,5822,2
49,449990,6210,2
49,441419,6210,1
49,450248,6210,2
50,457522,5912,2
51,710664,6251,2
52,508819,5728,2
53,175384,6128,2
54,269741,5667,1
54,242825,5970,2
55,404702,5713,2
56,409614,5984,2
57,45652,5973,2
58,442552,5869,2
58,448390,5869,2
59,558894,5683,2
59,558891,5744,2
59,558896,5679,2
59,558889,5725,2
59,128472,5666,1
59,664175,5890,2
59,558890,5677,2
60,628073,6235,2
